city,title,rank,point,tag,link,review
Phoenix,Noble Eatery,128,4.5,"['Sandwiches', 'Salad', 'Bakeries']",/biz/noble-eatery-phoenix,(273 reviews)
Phoenix,El Chullo Peruvian Restaurant & Bar,129,4.5,['Peruvian'],/biz/el-chullo-peruvian-restaurant-and-bar-phoenix-2,(517 reviews)
Phoenix,Sink Or Swim,130,5.0,['Food Stands'],/biz/sink-or-swim-phoenix,(11 reviews)
Phoenix,Lo-Lo’s Chicken & Waffles,131,3.8,"['Southern', 'Soul Food', 'Waffles']",/biz/lo-los-chicken-and-waffles-phoenix,(2.8k reviews)
Phoenix,LOVECRAFT,132,4.4,"['Beer Bar', 'New Mexican Cuisine', 'Cocktail Bars']",/biz/lovecraft-phoenix,(472 reviews)
Phoenix,Cupbop - Korean BBQ,133,3.8,"['Barbeque', 'Korean', 'Asian Fusion']",/biz/cupbop-korean-bbq-phoenix-5,(19 reviews)
Phoenix,Perfect Pear Bistro,134,4.5,"['American (New)', 'Sandwiches', 'American (Traditional)']",/biz/perfect-pear-bistro-tempe-4,(671 reviews)
Phoenix,California Fish Grill,135,4.6,"['Seafood', 'Fish & Chips', 'Tacos']",/biz/california-fish-grill-phoenix,(177 reviews)
Phoenix,Cafecito,136,4.7,"['Coffee & Tea', 'Cafes', 'Desserts']",/biz/cafecito-phoenix,(3 reviews)
Phoenix,Little Miss BBQ-University,137,4.7,"['Barbeque', 'Sandwiches']",/biz/little-miss-bbq-university-phoenix,(2.8k reviews)
Phoenix,Naughty Tacos,138,3.1,"['Food Trucks', 'Tacos', 'Desserts']",/biz/naughty-tacos-phoenix,(132 reviews)
Phoenix,Kabob Grill N’ Go,139,4.9,['Mediterranean'],/biz/kabob-grill-n-go-phoenix,(207 reviews)
Phoenix,FEZ,140,3.9,"['Bars', 'Mediterranean', 'American (Traditional)']",/biz/fez-phoenix-2,(646 reviews)
Phoenix,Doughbird,141,4.1,"['Pizza', 'Comfort Food', 'American (Traditional)']",/biz/doughbird-phoenix-2,(1k reviews)
Phoenix,Old Town Sarajevo,142,4.4,['Modern European'],/biz/old-town-sarajevo-phoenix,(388 reviews)
Phoenix,Pa’La - 24th Street,143,4.6,"['Mediterranean', 'Seafood', 'Italian']",/biz/pala-24th-street-phoenix,(248 reviews)
Phoenix,Wanwaan,144,5.0,['Thai'],/biz/wanwaan-phoenix,(4 reviews)
Phoenix,Sushi Michi,145,4.4,"['Sushi Bars', 'Japanese', 'Korean']",/biz/sushi-michi-phoenix,(11 reviews)
Phoenix,IL Bosco Pizza,146,4.4,"['Pizza', 'Italian', 'Wine Bars']",/biz/il-bosco-pizza-phoenix,(168 reviews)
Phoenix,Phoenix City Grille,147,4.4,"['Bars', 'American (Traditional)', 'Tapas/Small Plates']",/biz/phoenix-city-grille-phoenix-3,(597 reviews)
Phoenix,Fàme Caffe,148,4.3,"['Coffee & Tea', 'Breakfast & Brunch']",/biz/f%C3%A0me-caffe-phoenix-3,(898 reviews)
Phoenix,Throne Brewing & Pizza Kitchen,149,4.3,"['Pizza', 'Gastropubs']",/biz/throne-brewing-and-pizza-kitchen-phoenix,(66 reviews)
Phoenix,The Coronado PHX,150,4.3,"['Cocktail Bars', 'Vegan', 'Beer Bar']",/biz/the-coronado-phx-phoenix,(941 reviews)
Phoenix,The Coronado PHX,151,4.3,"['Cocktail Bars', 'Vegan', 'Beer Bar']",/biz/the-coronado-phx-phoenix,(941 reviews)
