city,title,rank,point,tag,link,review_n
Arlington,Rosa Mexicano,209.0,3.5,"['Mexican', 'Cocktail Bars']",/biz/rosa-mexicano-coming-soon-arlington,42.0
Austin,Fonda San Miguel,35.0,4.0,['Mexican'],/biz/fonda-san-miguel-austin-7,1100.0
Austin,Koriente,14.0,4.4,"['Asian Fusion', 'Gluten-Free', 'Salad']",/biz/koriente-austin,1900.0
Austin,Culinary Dropout,16.0,4.0,"['Bars', 'American (New)', 'Music Venues']",/biz/culinary-dropout-austin,1800.0
Austin,Phoebe’s Diner,17.0,4.5,"['Breakfast & Brunch', 'Diners', 'American (Traditional)']",/biz/phoebes-diner-austin,1700.0
Austin,888 Pan Asian Restaurant,11.0,4.1,"['Vietnamese', 'Thai', 'Chinese']",/biz/888-pan-asian-restaurant-austin,2000.0
Austin,Old Thousand,88.0,3.9,"['Cocktail Bars', 'Chinese', 'Asian Fusion']",/biz/old-thousand-austin,467.0
Austin,Troy ATX,73.0,4.5,"['Turkish', 'Mediterranean']",/biz/troy-atx-austin-4,567.0
Austin,Juniper,61.0,4.2,"['Italian', 'American (New)', 'Cocktail Bars']",/biz/juniper-austin,655.0
Austin,Nervous Charlie’s Bagels,77.0,4.3,"['Bagels', 'Sandwiches', 'Breakfast & Brunch']",/biz/nervous-charlies-bagels-austin,553.0
Austin,Tiny Boxwoods,108.0,3.7,"['Venues & Event Spaces', 'American (New)']",/biz/tiny-boxwoods-austin-3,317.0
Austin,Devil May Care,133.0,4.1,"['Lounges', 'Mediterranean', 'Cocktail Bars']",/biz/devil-may-care-austin,178.0
Austin,De Nada Cantina,106.0,4.4,"['Mexican', 'Wine Bars', 'Cocktail Bars']",/biz/de-nada-cantina-austin-2,338.0
Austin,Rice Ball,169.0,4.1,['Japanese'],/biz/rice-ball-austin,102.0
Austin,Dean’s Italian Steakhouse - Austin,148.0,4.4,"['Steakhouses', 'Italian', 'Seafood']",/biz/deans-italian-steakhouse-austin-austin-4,155.0
Austin,Bat City Pies,223.0,4.9,"['Pizza', 'Food Trucks']",/biz/bat-city-pies-austin,19.0
Bloomington,Juannita’s,27.0,3.2,"['Mexican', 'Bars']",/biz/juannitas-bloomington-4,190.0
Bloomington,The Village Deli,17.0,3.3,"['Breakfast & Brunch', 'American (Traditional)', 'Delis']",/biz/the-village-deli-bloomington,237.0
Bloomington,Mother Bear’s Pizza West,31.0,4.1,"['Pizza', 'Italian']",/biz/mother-bears-pizza-west-bloomington,173.0
