city,title,rank,point,link,review_n,rank_review
Emeryville,Yimm,183,4.4,/biz/yimm-oakland,337.0,103.0
Emeryville,Co Nam,209,3.8,/biz/co-nam-oakland,279.0,113.0
Emeryville,Ramen 101,235,3.5,/biz/ramen-101-emeryville,82.0,180.0
Emeryville,Todos,181,4.2,/biz/todos-oakland,142.0,158.0
Emeryville,Tik Dak,236,4.9,/biz/tik-dak-oakland-4,39.0,208.0
Flushing,Bunna Cafe,204,4.5,/biz/bunna-cafe-brooklyn,799.0,27.0
Flushing,The Bonnie,154,4.1,/biz/the-bonnie-astoria,793.0,28.0
Flushing,Loukoumi Taverna,179,4.3,/biz/loukoumi-taverna-astoria-2,542.0,41.0
Flushing,Forest Hills Station House,21,4.2,/biz/forest-hills-station-house-forest-hills,1300.0,12.0
Flushing,Ginger and Lemongrass,173,3.9,/biz/ginger-and-lemongrass-whitestone,973.0,23.0
Flushing,Bobby Vans Grill,232,2.9,/biz/bobby-vans-grill-jamaica,463.0,50.0
Flushing,Buccaneer Diner,200,3.4,/biz/buccaneer-diner-east-elmhurst,345.0,65.0
Flushing,Kissfish,213,4.2,/biz/kissfish-forest-hills,246.0,85.0
Flushing,While In Kathmandu,51,4.5,/biz/while-in-kathmandu-ridgewood,244.0,87.0
Flushing,Fu Yuan,239,4.3,/biz/fu-yuan-flushing-2,221.0,97.0
Flushing,Leos Latticini Mamas,177,4.6,/biz/leos-latticini-mamas-corona-3,168.0,111.0
Flushing,John Brown BBQ,214,4.2,/biz/john-brown-bbq-long-island-city-2,158.0,114.0
Flushing,Mama Schnitzel,234,4.1,/biz/mama-schnitzel-rego-park,67.0,166.0
Flushing,Nneji,158,5.0,/biz/nneji-astoria,54.0,178.0
Flushing,Yoku,150,5.0,/biz/yoku-queens,7.0,228.0
Foster City,Shalizaar,209,3.6,/biz/shalizaar-belmont,1200.0,14.0
Foster City,Jacks Prime Burgers & Shakes,126,4.0,/biz/jacks-prime-burgers-and-shakes-san-mateo-6,1800.0,5.0
Foster City,Thai Tamarind Restaurant,160,3.8,/biz/thai-tamarind-restaurant-belmont,521.0,47.0
Foster City,Apple Fritter,33,4.2,/biz/apple-fritter-san-mateo,1600.0,7.0
Foster City,The Cheesecake Factory,153,2.6,/biz/the-cheesecake-factory-san-mateo-san-mateo,1700.0,6.0
Foster City,Daiki Sushi,230,3.1,/biz/daiki-sushi-san-mateo,368.0,72.0
Foster City,Amigos Grill Cocina Mexicana,171,3.5,/biz/amigos-grill-cocina-mexicana-san-mateo,298.0,89.0
Foster City,Los Moreno Taqueria,204,3.9,/biz/los-moreno-taqueria-san-mateo,324.0,83.0
Foster City,Sandwich Monkey,31,3.8,/biz/sandwich-monkey-foster-city,310.0,86.0
Foster City,Spicy Empire,235,3.5,/biz/spicy-empire-san-mateo-2,237.0,104.0
Foster City,Otoko Sushi,170,3.4,/biz/otoko-sushi-redwood-city,184.0,114.0
Foster City,Marias Restaurant,195,3.8,/biz/marias-restaurant-san-mateo,93.0,144.0
Foster City,Sarku Japan,233,2.3,/biz/sarku-japan-san-mateo,75.0,153.0
Foster City,Quickly,178,3.2,/biz/quickly-foster-city-3,91.0,145.0
Foster City,Bites of Brazil,202,5.0,/biz/bites-of-brazil-san-mateo,1.0,227.0
Honolulu,Shabuya,222,4.4,/biz/shabuya-honolulu,2200.0,28.0
Honolulu,Moku Kitchen,97,3.9,/biz/moku-kitchen-honolulu,2200.0,26.0
Honolulu,53 By The Sea,141,4.0,/biz/53-by-the-sea-honolulu,1300.0,46.0
Honolulu,Paia Fish Market Waikiki,13,4.5,/biz/paia-fish-market-waikiki-honolulu-2,2000.0,31.0
Honolulu,Side Street Inn,120,4.1,/biz/side-street-inn-honolulu,2000.0,35.0
Honolulu,Hawaiian Island Cafe,234,4.7,/biz/hawaiian-island-cafe-waimanalo-3,617.0,95.0
Honolulu,Mokes Bread and Breakfast - Kaimuki,176,4.5,/biz/moke-s-bread-and-breakfast-kaimuki-honolulu,714.0,86.0
Honolulu,100 Sails Restaurant & Bar,213,4.0,/biz/100-sails-restaurant-and-bar-honolulu-2,952.0,67.0
